score;motivo;id_a;desc_a;k55_a;origen_a;cat_a;prov_a;id_b;desc_b;k55_b;origen_b;cat_b;prov_b
0.700;revisar;97c11bea-c6cd-4c3e-af70-f29bfe269bba;"Codo 90° MH bronce 1""";1;k37_enero2026;Mecánica;Iriarte;121fc3b6-26b3-4ceb-9de0-3d4a9b5201d2;"Codo 90° MH bronce 1/2""";8;k37_enero2026;Mecánica;Iriarte
0.700;revisar;97c11bea-c6cd-4c3e-af70-f29bfe269bba;"Codo 90° MH bronce 1""";1;k37_enero2026;Mecánica;Iriarte;e78bd1b7-c0d2-49d2-b6bb-86884e7f8d8f;"Codo 90° MH bronce 1/4""";0;k37_enero2026;Mecánica;Iriarte
0.700;revisar;97c11bea-c6cd-4c3e-af70-f29bfe269bba;"Codo 90° MH bronce 1""";1;k37_enero2026;Mecánica;Iriarte;635bc388-7a5d-47b8-8727-028753d06708;"Codo 90° MH bronce 2""";0;k37_enero2026;Mecánica;Iriarte
0.700;revisar;97c11bea-c6cd-4c3e-af70-f29bfe269bba;"Codo 90° MH bronce 1""";1;k37_enero2026;Mecánica;Iriarte;f1b5cc19-0a95-434c-a0ce-5a993ee365ce;"Codo 90° MH bronce 3/4""";2;k37_enero2026;Mecánica;Iriarte
0.700;revisar;121fc3b6-26b3-4ceb-9de0-3d4a9b5201d2;"Codo 90° MH bronce 1/2""";8;k37_enero2026;Mecánica;Iriarte;ed5861b9-ce58-4455-8dd7-95120e352159;"Codo 90° MH bronce 1¼""";0;k37_enero2026;Mecánica;Iriarte
0.700;revisar;121fc3b6-26b3-4ceb-9de0-3d4a9b5201d2;"Codo 90° MH bronce 1/2""";8;k37_enero2026;Mecánica;Iriarte;2038200f-0d12-4652-ac8e-f67213ea0cd9;"Codo 90° MH bronce 1½""";0;k37_enero2026;Sanitarios / Griferías;Gaona
0.700;revisar;121fc3b6-26b3-4ceb-9de0-3d4a9b5201d2;"Codo 90° MH bronce 1/2""";8;k37_enero2026;Mecánica;Iriarte;635bc388-7a5d-47b8-8727-028753d06708;"Codo 90° MH bronce 2""";0;k37_enero2026;Mecánica;Iriarte
0.700;revisar;121fc3b6-26b3-4ceb-9de0-3d4a9b5201d2;"Codo 90° MH bronce 1/2""";8;k37_enero2026;Mecánica;Iriarte;0947a975-ad91-4077-b204-9a170e1baa5d;"Codo 90º MH plástico 1/2"" x 1""";0;k37_enero2026;Sanitarios / Griferías;Gaona
0.700;revisar;ed5861b9-ce58-4455-8dd7-95120e352159;"Codo 90° MH bronce 1¼""";0;k37_enero2026;Mecánica;Iriarte;f1b5cc19-0a95-434c-a0ce-5a993ee365ce;"Codo 90° MH bronce 3/4""";2;k37_enero2026;Mecánica;Iriarte
0.700;revisar;2038200f-0d12-4652-ac8e-f67213ea0cd9;"Codo 90° MH bronce 1½""";0;k37_enero2026;Sanitarios / Griferías;Gaona;f1b5cc19-0a95-434c-a0ce-5a993ee365ce;"Codo 90° MH bronce 3/4""";2;k37_enero2026;Mecánica;Iriarte
