excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision;loose_score;loose_candidate_id;loose_candidate_desc
145;STD;REUSAR_ID_Y_SET_K55;EXACTO;dfedeb19-e6a9-4b89-a9df-8ce94ded5967;"Entrerrosca 1/2"" bronce";1.000;"Entrerrosca 1/2"" bronce";4;Unidades;1;0;0;Casa Iriarte;Sanitarios;C 112 1/2 FU;STD;;;;
146;STD;REUSAR_ID_Y_SET_K55;EXACTO;7a9da0a6-4f72-4e3c-b1ee-228059aa5e7b;"Entrerrosca 1/2"" plástico";1.000;"Entrerrosca 1/2"" plastico";4;Unidades;1;0;0;Casa Iriarte;Sanitarios;PX ENTRR1/2;STD;;;;
148;STD;REUSAR_ID_Y_SET_K55;EXACTO;7a101f2d-5197-47d8-bd9e-ff5dc4bc67c8;"Entrerrosca de reduccion 3/4"" x 1/2"" plastico";1.000;"Entrerrosca de reduccion 3/4"" x 1/2"" plastico";1;Unidades;1;0;0;Casa Iriarte;Sanitarios;FAG-FIL-MED3/4;STD;;;;
149;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Epuyén – Juego monocomando para mesada de cocina (cromado);1;Unidades;;;;;;0411.04/L2-CR;STD;;0.182;1dd21b67-9e5d-4297-99b8-2cd41c931852;Monocomando cocina FV Arizona alto
151;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Escalera flybridge K55;1;Unidades;;;;Maxi Herrero;;;STD;;0.000;;
153;STD;REUSAR_ID_Y_SET_K55;EXACTO;6864fa83-e55a-4e23-aae9-aaa77d0f8430;"Extractor Rule 3"" 12V";1.000;"Extractor Rule 3"" 12V";2;Unidades;1.0;0;0;Trimer;Electricidad;;STD;;;;
155;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Faro Marinco 12V dirigible;1;Unidades;;;;Flojumar;Electricidad;;STD;;0.167;f68590a3-750a-426d-ab91-b6d43f6b1cd6;Baterías 12v 180Ah
156;STD;REUSAR_ID_Y_SET_K55;EXACTO;e3596983-974f-445d-abff-6d351c34e271;Ficha Marinco hembra 32A 220V;1.000;Ficha Marinco hembra 32A 220V;1;Unidades;1;0;0;Flojumar;Electricidad;Marinco 6360CRN;STD;;;;
157;STD;REUSAR_ID_Y_SET_K55;EXACTO;92226c96-5ae8-4ce2-b786-d55e2a321dbe;"Filtro agua 1""";1.000;"Filtro agua 1""";1;Unidades;1.0;0;0;Casa Iriarte;Sanitarios;FAG-FIL-MED1IN;STD;;;;
159;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Flexible mallado para agua 1/2"" X 40cm";8;Unidades;;;;Casa Iriarte;Sanitarios;FLAG-AF2076-1/;STD;;0.222;18c68ccb-4fdb-4c50-af42-1b332dc666e0;"Filtro de agua 1 1/2"" inox"
160;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Flexible mallado para agua 1/2"" X 50cm";3;Unidades;;;;Casa Iriarte;Sanitarios;FLAG-AF2076-1/;STD;;0.222;18c68ccb-4fdb-4c50-af42-1b332dc666e0;"Filtro de agua 1 1/2"" inox"
162;STD;REUSAR_ID_Y_SET_K55;EXACTO;05a333d2-d432-4be9-a62c-0e9b628345ec;Funda para ficha Marinco 32A 220V;1.000;Funda para ficha Marinco 32A 220V;1;Unidades;1;0;0;Flojumar;Electricidad;;STD;;;;
163;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Generador Kohler 18EFKOZD/21EKOZD;1;Unidades;;;;Trimer;;;STD;;0.000;;
170;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Horno Samsung NV7B4040VAS/BG;1;Unidades;;;;;Electricidad;EMPOTRABLE;STD;;0.000;;
