excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
130;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Direccion electro asistida twin disk;1;Unidades;;;;;Electricidad;;STD;
138;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Ecosonda;1;Unidades;;;;;;AIRMAR P319 (010-10194-21);STD;
140;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"EMPALME ESPIGA PARA MANGUERA 1"" PLASTICO";3;Unidades;;;;Casa Iriarte;Sanitarios;;STD;
141;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Enchufe hembra;1;Unidades;;;;;Electricidad;;STD;
142;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Enchufe macho;1;Unidades;;;;;Electricidad;;STD;
147;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Entrerrosca 3/4"" bronce";2;Unidades;;;;Casa Iriarte;Sanitarios;C 112 3/4 FU;STD;
149;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Epuyén – Juego monocomando para mesada de cocina (cromado);1;Unidades;;;;;;0411.04/L2-CR;STD;
151;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Escalera flybridge K55;1;Unidades;;;;Maxi Herrero;;;STD;
154;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Fabricadora de hielo WHITE ICE ACERO INOXIDABLE;2;Unidades;;;;Flojumar;Electricidad;VER MODELO;STD;
155;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Faro Marinco 12V dirigible;1;Unidades;;;;Flojumar;Electricidad;;STD;
158;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Filtro agua 3/4""";2;Unidades;;;;Casa Iriarte;Electricidad;FAG-FIL-MED3/4;STD;
159;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Flexible mallado para agua 1/2"" X 40cm";8;Unidades;;;;Casa Iriarte;Sanitarios;FLAG-AF2076-1/;STD;
160;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Flexible mallado para agua 1/2"" X 50cm";3;Unidades;;;;Casa Iriarte;Sanitarios;FLAG-AF2076-1/;STD;
163;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Generador Kohler 18EFKOZD/21EKOZD;1;Unidades;;;;Trimer;;;STD;
170;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Horno Samsung NV7B4040VAS/BG;1;Unidades;;;;;Electricidad;EMPOTRABLE;STD;
171;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Imanes para puertas de muebles;46;Unidades;;;;Rincon del Herraje;Carpinteria;Rincon del herraje;STD;
173;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Inodoro Tecma Thetford silence 2 plusg con bidet y tapa 12v;2;Unidades;;;;Flojumar;Sanitarios;INODOROS. HOLDING TANK;STD;
174;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Instrumento agua/combustible aro cromado;2;Unidades;;;;Flojumar;Electricidad;?;STD;
175;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Joystick doble Quick italy;2;Unidades;;;;Flojumar;Electricidad;CABLE Y DERIVACION 2 ESTACIONES QUICK;STD;
176;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Juego monocomando para bañera y ducha Epuyén 0106/L2 Cromado;2;Unidades;;;;;;Griferia 2 baños;STD;
178;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Juego monocomando para lavatorio Epuyén 0206/L2 Cromado;2;Unidades;;;;;;Griferia 2 baños;STD;
182;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Limpia Parabrisas pantograficos;2;Unidades;;;;Tableros Costa;;Tableros Costa;STD;
183;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Llave carling malacate 2 puntos;2;Unidades;;;;Flojumar;Electricidad;;STD;
187;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Luces de lectura;6;Unidades;;;;;;2 en cada camarote;STD;
189;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Luz banda ROJA led;1;Unidades;;;;Flojumar;Electricidad;KIT HELLA MARINE LED;STD;
190;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Luz banda VERDE led;1;Unidades;;;;Flojumar;Electricidad;KIT HELLA MARINE LED;STD;
191;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Luz fondeo led blanca 360;1;Unidades;;;;Flojumar;Electricidad;KIT HELLA MARINE LED;STD;
192;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Luz navegacion proa blanca led;1;Unidades;;;;Flojumar;Electricidad;KIT HELLA MARINE LED;STD;
193;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;luz popa led blanca;1;Unidades;;;;Flojumar;Electricidad;KIT HELLA MARINE LED;STD;
195;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Malacate Quick italy 1500 watts 12v acero inoxidable;1;Unidades;;;;Flojumar;Electricidad;Fondeo;STD;
199;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Mesa ratona en salon, EL LINK ES UN EJEMPLO;1;Unidades;;;;MercadoLibre;Carpinteria;https://www.mercadolibre.com.ar/mesa-ratona-auxiliar-nordica-madera-120x55-miramar-dream/up/MLAU3769022804?picker=true&quantity=1;STD;
203;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Niple de inox 316 de 1/2"", L= 100 mm";1;Unidades;;;;;Mecanica;TANQUES;STD;
204;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Niple de inox 316 de 3/4"", L = 100 mm";1;Unidades;;;;;Mecanica;TANQUES;STD;
205;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Ojo de buey;5;Unidades;;;;;;Cam.Popa x2, Cam.Medio x1, Ambos baños;STD;
206;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Panel bomba de achique Johnson pump;5;Unidades;;;;Flojumar;Sanitarios;BOMBAS DE ACHIQUE;STD;
208;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Pantalla tactil de timonera interior, modelo?? accesorios??;1;Unidades;;;;;;modelo?? accesorios??;STD;modelo/dato con ??
210;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Pasamanos escalera flybridge K55;1;Unidades;;;;Maxi Herrero;;;STD;
211;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Pasamanos varios K55;13;Unidades;;;;Maxi Herrero;;7 solarium proa, 4 carroza, 2 planchada;STD;
212;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Percha Epuyén 0166/L2 Cromado;4;Unidades;;;;;;Griferia 2 baños;STD;
215;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Perfiles de aluminio para tiras led;110;Unidades;;;;MercadoLibre;;Seccion 17mm x 7mm;STD;
217;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Picaportes Currao SARDEGNA - ver color;14;Unidades;;;;;;7 puertas - STD;STD;
219;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Placa de honeycomb (terciado de 6 mm + núcleo de panal de abeja de 15 mm + terciado de 6 mm) de 1,2 mts x 2,45 mts;22;Unidades;;;;;Mecanica;?;STD;
221;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Plaquetas p/precintos;500;Unidades;;;;;Sanitarios;VARIOS;STD;
222;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Plotter de flybridge STD, modelo?? accesorios??;1;Unidades;;;;;;modelo?? accesorios??;STD;modelo/dato con ??
224;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Portarrollo Epuyén 0167/L2 Cromado;2;Unidades;;;;;;Griferia 2 baños;STD;
226;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Precinto 35 CM;500;Unidades;;;;;Sanitarios;VARIOS;STD;
